date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:09	19198/19198	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-8.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-8.jpg	(from https://bookwritingfounders.com/)
13:20:09	5132/5132	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/author-website.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/author-website.svg	(from https://bookwritingfounders.com/)
13:20:10	21427/21427	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-9.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-9.jpg	(from https://bookwritingfounders.com/)
13:20:10	2647/2647	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/professional-audio-book.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/professional-audio-book.svg	(from https://bookwritingfounders.com/)
13:20:10	17742/17742	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-10.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-10.jpg	(from https://bookwritingfounders.com/)
13:20:11	4366/4366	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/book-video-trailer.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/book-video-trailer.svg	(from https://bookwritingfounders.com/)
13:20:11	18727/18727	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-11.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-11.jpg	(from https://bookwritingfounders.com/)
13:20:11	3284/3284	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/book-cover-design.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/book-cover-design.svg	(from https://bookwritingfounders.com/)
13:20:12	33273/33273	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202019%2004:24:04%20GMT	https://bookwritingfounders.com/assets/images/img-12.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-12.jpg	(from https://bookwritingfounders.com/)
13:20:12	8309/8309	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/custom-book-illustration.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/custom-book-illustration.svg	(from https://bookwritingfounders.com/)
